"subjID"	"choice"	"outcome"
11	2	-1
11	2	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	-1
11	2	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	-1
11	2	1
11	1	-1
11	2	1
11	1	-1
11	2	1
11	1	1
11	1	-1
11	2	1
11	1	1
11	1	1
11	1	-1
11	2	1
11	1	-1
11	2	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	-1
11	2	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	-1
11	2	-1
11	2	-1
11	2	1
11	1	-1
11	2	1
11	1	1
11	1	-1
11	2	1
11	1	1
11	1	1
11	1	-1
11	2	1
11	1	-1
11	2	1
11	2	1
11	2	1
11	2	1
11	2	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	-1
11	2	1
11	1	1
11	1	-1
11	2	-1
11	2	1
11	1	-1
11	2	1
11	2	1
11	2	1
11	2	1
11	2	1
11	2	-1
11	2	1
11	1	-1
11	2	1
11	2	1
11	2	-1
11	2	-1
11	2	-1
11	2	-1
11	1	1
11	1	1
11	2	1
11	1	-1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	-1
11	1	1
11	1	1
11	1	-1
11	1	-1
11	2	1
11	1	-1
11	2	1
11	2	1
11	2	1
11	2	-1
11	1	1
11	1	-1
11	2	1
11	2	1
11	2	-1
11	1	-1
11	2	1
11	2	-1
11	1	-1
11	2	1
11	2	-1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	-1
11	2	-1
11	1	-1
11	2	1
11	1	-1
11	2	1
11	2	1
11	2	1
11	2	1
11	2	-1
11	1	-1
11	2	-1
11	1	-1
11	2	-1
11	1	-1
11	2	1
11	2	1
11	1	1
11	1	1
11	1	-1
11	2	-1
11	1	1
11	1	-1
11	2	-1
11	1	-1
11	2	-1
11	1	1
11	1	1
11	2	-1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	-1
11	2	1
11	2	1
11	2	1
11	2	1
11	2	1
11	2	1
11	2	1
11	2	-1
11	1	-1
11	1	-1
11	2	-1
11	1	-1
11	1	-1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	-1
11	2	-1
11	2	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	-1
11	2	-1
11	2	-1
11	2	1
11	1	-1
11	2	-1
11	2	1
11	1	-1
11	2	1
11	1	-1
11	2	1
11	2	1
11	2	-1
11	2	1
11	1	-1
11	2	1
11	2	1
11	2	-1
11	2	-1
11	1	-1
11	2	-1
11	2	-1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	-1
11	2	-1
11	1	1
11	1	-1
11	2	-1
11	1	-1
11	2	1
11	2	-1
11	1	-1
11	1	-1
11	2	1
11	2	1
11	2	-1
11	1	-1
11	2	1
11	1	1
11	1	-1
11	2	1
11	1	-1
11	2	1
11	1	1
11	1	1
11	1	-1
11	2	-1
11	2	-1
11	2	-1
11	1	1
11	1	1
11	2	-1
11	1	-1
11	2	-1
11	2	-1
11	2	1
11	1	1
11	1	1
11	1	-1
11	2	-1
11	2	1
11	1	-1
11	2	1
11	2	1
11	1	-1
11	2	1
11	1	-1
11	2	-1
11	2	1
11	1	-1
11	2	-1
11	2	1
11	1	-1
11	2	-1
11	2	1
11	1	1
11	1	1
11	1	1
11	1	-1
11	2	-1
11	2	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	-1
11	2	1
11	1	-1
11	2	-1
11	2	1
11	1	-1
11	2	1
11	1	-1
11	2	1
11	1	-1
11	2	1
11	1	1
11	1	1
11	1	-1
11	2	1
11	1	1
11	1	1
11	1	1
11	1	-1
11	2	1
11	2	-1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	1
11	1	-1
11	2	1
11	1	-1
11	2	1
11	2	-1
11	1	-1
11	2	1
11	2	1
11	2	1
11	2	1
11	2	-1
11	1	1
11	1	-1
11	2	1
11	1	-1
11	2	1
12	2	-1
12	1	1
12	1	1
12	1	-1
12	2	1
12	2	1
12	2	-1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	-1
12	2	1
12	2	1
12	2	-1
12	1	-1
12	2	1
12	2	1
12	2	1
12	2	1
12	2	-1
12	1	1
12	1	-1
12	2	1
12	2	1
12	2	1
12	2	-1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	-1
12	2	-1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	-1
12	2	1
12	2	1
12	2	1
12	2	1
12	2	1
12	2	1
12	2	-1
12	2	1
12	2	1
12	2	1
12	2	1
12	2	1
12	2	1
12	2	-1
12	1	-1
12	2	-1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	2	-1
12	1	1
12	1	1
12	1	-1
12	1	1
12	1	-1
12	1	1
12	1	1
12	1	1
12	1	-1
12	1	1
12	1	-1
12	1	-1
12	1	-1
12	1	-1
12	1	-1
12	1	-1
12	2	-1
12	1	-1
12	1	-1
12	2	-1
12	2	1
12	2	1
12	2	1
12	2	-1
12	1	-1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	-1
12	1	-1
12	1	1
12	1	1
12	1	-1
12	1	1
12	1	-1
12	1	-1
12	1	-1
12	1	-1
12	1	-1
12	2	1
12	1	-1
12	2	1
12	1	1
12	2	1
12	1	1
12	1	-1
12	2	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	-1
12	2	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	-1
12	2	1
12	1	-1
12	2	1
12	2	1
12	2	-1
12	1	1
12	1	1
12	1	-1
12	2	1
12	2	1
12	2	1
12	2	1
12	2	1
12	2	1
12	2	1
12	1	1
12	1	1
12	2	-1
12	1	1
12	1	-1
12	2	-1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	-1
12	1	-1
12	2	-1
12	1	1
12	1	-1
12	2	1
12	1	-1
12	2	1
12	2	1
12	2	-1
12	1	-1
12	2	1
12	2	1
12	2	1
12	2	1
12	2	1
12	2	-1
12	1	-1
12	1	1
12	1	1
12	1	1
12	1	-1
12	2	1
12	2	-1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	1
12	1	-1
12	2	-1
12	1	-1
12	2	1
12	2	-1
12	1	-1
12	1	1
12	1	-1
12	2	1
12	1	1
12	1	-1
12	2	1
12	1	-1
12	2	1
12	2	1
12	2	1
12	2	1
13	1	1
13	1	1
13	2	-1
13	2	-1
13	1	-1
13	1	1
13	1	1
13	1	1
13	1	1
13	1	1
13	1	1
13	1	1
13	1	1
13	1	-1
13	1	-1
13	1	-1
13	1	-1
13	1	-1
13	1	-1
13	1	1
13	1	-1
13	1	-1
13	1	-1
13	2	-1
13	1	-1
13	1	-1
13	1	-1
13	1	-1
13	1	1
13	1	1
13	1	1
13	1	1
13	2	-1
13	1	1
13	1	1
13	1	1
13	1	-1
13	2	-1
13	1	1
13	1	1
13	1	-1
13	1	1
13	1	-1
13	1	1
13	1	1
13	1	-1
13	2	-1
13	1	-1
13	1	1
13	1	-1
13	1	-1
13	1	1
13	1	-1
13	1	-1
13	1	-1
13	2	1
13	2	1
13	1	-1
13	1	-1
13	1	-1
13	1	1
13	1	1
13	1	1
13	1	-1
13	1	1
13	1	1
13	1	1
13	1	1
13	1	-1
13	2	1
13	2	-1
13	1	1
13	1	1
13	1	1
13	1	1
13	1	-1
13	1	1
13	1	-1
13	1	-1
13	2	1
13	1	-1
13	2	1
13	1	1
13	1	-1
13	1	-1
13	2	1
13	2	1
13	2	1
13	2	1
13	2	-1
13	2	1
13	2	-1
13	1	1
13	1	1
13	1	1
13	1	1
13	2	-1
13	2	-1
13	1	1
13	1	1
13	1	1
13	1	-1
13	2	-1
13	1	1
13	2	1
13	2	1
13	2	1
13	2	1
13	1	-1
13	2	1
13	2	-1
13	2	1
13	2	1
13	2	1
13	2	-1
13	2	1
13	2	1
13	2	1
13	2	1
13	2	-1
13	1	1
13	1	1
13	1	1
13	1	1
13	1	1
13	1	1
13	1	-1
13	2	-1
13	1	-1
13	2	1
13	2	-1
13	1	1
13	1	1
13	1	1
13	1	1
13	1	-1
13	2	1
13	2	1
13	2	1
13	1	1
13	1	-1
13	2	1
13	2	1
13	2	-1
13	1	-1
13	2	1
13	1	-1
13	2	-1
13	1	-1
13	2	1
14	1	1
14	1	-1
14	1	-1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	-1
14	1	1
14	1	1
14	1	-1
14	1	-1
14	1	1
14	1	-1
14	1	-1
14	1	-1
14	1	-1
14	1	-1
14	1	-1
14	1	-1
14	1	-1
14	1	1
14	1	-1
14	1	-1
14	1	-1
14	1	-1
14	2	-1
14	2	-1
14	2	-1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	-1
14	2	-1
14	1	1
14	1	1
14	1	-1
14	1	-1
14	2	1
14	1	-1
14	2	1
14	2	1
14	2	1
14	2	1
14	2	-1
14	1	-1
14	1	-1
14	2	1
14	2	-1
14	1	1
14	1	-1
14	1	-1
14	1	-1
14	1	1
14	1	-1
14	2	-1
14	2	1
14	1	1
14	1	1
14	1	-1
14	1	1
14	1	1
14	1	1
14	2	-1
14	1	1
14	1	1
14	1	1
14	1	-1
14	2	-1
14	1	1
14	1	-1
14	1	-1
14	1	-1
14	1	-1
14	1	1
14	1	-1
14	1	-1
14	1	1
14	1	-1
14	1	-1
14	2	1
14	1	-1
14	1	1
14	1	-1
14	1	-1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	-1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	-1
14	1	-1
14	2	-1
14	1	-1
14	1	-1
14	1	1
14	1	-1
14	1	1
14	1	-1
14	1	-1
14	1	-1
14	2	1
14	1	-1
14	2	1
14	1	-1
14	1	1
14	1	-1
14	2	1
14	1	1
14	1	1
14	1	-1
14	2	-1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	-1
14	1	1
14	1	-1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	-1
14	1	-1
14	1	-1
14	2	1
14	1	1
14	1	-1
14	1	-1
14	1	-1
14	1	-1
14	1	-1
14	1	-1
14	1	1
14	1	-1
14	1	1
14	1	-1
14	1	-1
14	1	1
14	1	1
14	1	-1
14	1	1
14	1	1
14	1	-1
14	1	1
14	1	1
14	1	-1
14	1	-1
14	1	-1
14	1	1
14	1	-1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	-1
14	1	1
14	1	1
14	1	-1
14	1	1
14	1	1
14	1	1
14	1	-1
14	1	-1
14	1	1
14	1	-1
14	1	1
14	1	1
14	1	-1
14	1	-1
14	1	-1
14	1	-1
14	1	-1
14	1	-1
14	2	1
14	1	-1
14	1	-1
14	2	-1
14	1	-1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	-1
14	1	1
14	2	-1
14	2	-1
14	2	1
14	2	-1
14	1	1
14	1	1
14	1	-1
14	2	-1
14	1	-1
14	1	1
14	1	-1
14	2	1
14	1	1
14	2	1
14	1	-1
14	2	1
14	1	-1
14	2	1
14	2	1
14	2	1
14	2	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	-1
14	1	1
14	1	-1
14	1	-1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	-1
14	1	-1
14	1	1
14	1	-1
14	1	-1
14	1	1
14	1	-1
14	1	1
14	1	-1
14	1	-1
14	1	-1
14	2	1
14	1	-1
14	2	1
14	2	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	-1
14	1	-1
14	1	-1
14	1	-1
14	1	-1
14	1	1
14	1	-1
14	1	1
14	1	-1
14	2	-1
14	2	-1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	-1
14	1	-1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	-1
14	1	-1
14	1	-1
14	1	1
14	1	-1
14	1	1
14	1	-1
14	1	-1
14	1	-1
14	1	1
14	1	-1
14	1	-1
14	1	-1
14	2	1
14	2	1
14	2	-1
14	1	1
14	2	-1
14	1	-1
14	1	-1
14	1	1
14	1	-1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	1
14	1	-1
14	2	1
14	1	-1
14	2	1
14	1	1
14	1	-1
14	1	-1
14	1	1
14	1	-1
14	1	-1
14	2	1
14	1	-1
14	2	-1
14	2	1
14	1	-1
15	2	-1
15	2	1
15	2	-1
15	2	-1
15	2	1
15	2	-1
15	2	-1
15	2	-1
15	2	-1
15	2	-1
15	2	-1
15	2	-1
15	2	-1
15	2	1
15	2	-1
15	2	1
15	2	-1
15	2	1
15	2	1
15	2	1
15	2	1
15	2	-1
15	2	1
15	2	1
15	2	1
15	2	1
15	2	1
15	2	1
15	2	-1
15	2	1
15	1	1
15	1	1
15	1	-1
15	1	1
15	1	1
15	1	-1
15	1	1
15	1	-1
15	1	1
15	1	1
15	1	1
15	1	1
15	1	1
15	1	1
15	1	1
15	1	-1
15	1	-1
15	1	-1
15	1	1
15	1	-1
15	1	-1
15	1	-1
15	2	-1
15	1	-1
15	1	-1
15	1	-1
15	1	-1
15	1	-1
15	1	1
15	1	-1
15	1	-1
15	1	1
15	1	1
15	1	-1
15	1	1
15	1	1
15	1	-1
15	1	1
15	1	1
15	1	1
15	1	1
15	1	1
15	1	1
15	1	1
15	1	1
15	1	1
15	1	-1
15	1	-1
15	1	-1
15	1	-1
15	1	-1
15	1	-1
15	1	-1
15	1	-1
15	1	1
15	1	-1
15	1	-1
15	2	1
15	1	1
15	1	-1
15	1	1
15	1	1
15	1	1
15	1	1
15	1	1
15	1	-1
15	1	-1
15	1	1
15	1	1
15	1	1
15	1	1
15	1	1
15	1	1
15	1	1
15	1	-1
15	1	-1
15	1	-1
15	1	-1
15	2	-1
15	1	-1
15	1	-1
15	1	-1
15	2	-1
15	1	-1
15	1	-1
15	1	-1
15	1	-1
15	1	1
15	1	-1
15	1	-1
15	1	1
15	1	1
15	1	-1
15	1	1
15	1	1
15	1	1
15	1	1
15	1	1
15	1	1
15	1	-1
15	1	1
15	1	1
15	1	1
15	1	1
15	1	-1
15	1	-1
15	1	-1
15	1	-1
15	1	-1
15	1	-1
15	1	1
15	1	-1
15	1	-1
15	1	-1
15	1	-1
15	1	-1
15	1	-1
15	1	1
15	1	-1
15	1	1
16	2	-1
16	2	-1
16	2	-1
16	2	1
16	1	-1
16	2	-1
16	2	-1
16	2	-1
16	2	-1
16	2	-1
16	1	-1
16	2	-1
16	2	-1
16	1	1
16	1	1
16	1	-1
16	2	1
16	1	-1
16	2	1
16	2	-1
16	2	1
16	1	-1
16	2	1
16	2	-1
16	2	1
16	1	-1
16	2	-1
16	2	1
16	1	-1
16	2	1
16	2	-1
16	2	-1
16	1	1
16	1	-1
16	1	1
16	1	1
16	1	-1
16	2	1
16	2	-1
16	2	-1
16	1	1
16	1	1
16	2	-1
16	2	-1
16	2	-1
16	1	-1
16	1	-1
16	1	-1
16	2	-1
16	1	1
16	1	-1
16	2	1
16	1	1
16	1	-1
16	2	1
16	2	1
16	2	1
16	2	1
16	1	-1
16	2	1
16	2	-1
16	1	-1
16	2	-1
16	2	-1
16	2	-1
16	2	-1
16	2	-1
16	2	1
16	2	-1
16	2	-1
16	2	-1
16	2	1
16	2	-1
16	2	-1
16	2	-1
16	2	1
16	2	1
16	2	1
16	2	-1
16	2	1
16	2	-1
16	2	1
16	2	-1
16	2	1
16	2	1
16	2	1
16	2	1
16	1	-1
16	2	1
16	2	1
16	1	1
16	1	-1
16	1	-1
16	1	1
16	1	1
16	1	1
16	1	1
16	1	1
16	1	1
16	1	1
16	1	1
16	1	1
16	1	1
16	1	-1
16	1	1
16	1	-1
16	1	-1
16	1	-1
16	1	-1
16	1	1
16	1	-1
16	1	-1
16	1	1
16	2	-1
16	1	-1
16	1	-1
16	1	-1
16	1	-1
16	1	-1
16	1	-1
16	1	1
16	1	1
16	1	1
16	1	1
16	1	1
16	1	-1
16	1	1
16	1	1
16	1	1
16	1	1
16	1	-1
16	1	1
16	1	-1
16	1	1
16	1	1
16	1	-1
16	1	-1
16	1	-1
16	1	1
16	1	-1
16	1	-1
16	2	1
16	1	-1
16	1	1
16	1	-1
16	1	-1
16	1	1
16	1	-1
16	1	-1
16	1	-1
16	1	1
16	1	1
16	1	1
16	1	1
16	1	1
16	1	1
16	1	-1
16	2	-1
16	2	1
16	1	1
16	1	-1
16	2	-1
16	2	-1
16	1	1
16	1	1
16	1	-1
16	2	1
16	1	-1
16	2	-1
16	2	1
16	1	-1
16	2	1
16	1	-1
16	2	1
16	1	1
16	1	-1
16	1	-1
16	1	-1
16	2	1
16	1	1
16	1	1
16	1	1
16	1	1
16	1	-1
16	2	-1
16	2	-1
16	2	1
